sido_short,sigungu,registration,total_chargers,fast_chargers,slow_chargers,apt_charger_count,apt_charger_ratio,log_reg,expected_total,gap_pct_total,expected_fast,gap_pct_fast,expected_slow,gap_pct_slow,n_reported,ok_rate,broken_rate,busy_rate,n_kw_reported,avg_kw,log_pop,apt_ratio,old_housing_ratio,parking_ratio,subsidy_receipt_rate,budget_exec_rate,is_deficit
경기,시흥시,4941.0,2775,252,2523,2177,0.7845045045045045,8.50532301884575,1831.80577849196,51.48985949179219,167.76355447668797,50.21140961520181,1682.0602987568086,49.99462277688382,5588.0,94.70293486041518,1.6821760916249107,10.298563869992442,37.0,100.0,13.256862801335322,81.8,7.5991276545354065,88.7,78.0,78.0,0.0
경기,안산시 단원구,3226.0,1556,190,1366,865,0.5559125964010283,8.078998258685154,1159.9458652131425,34.14419126482957,131.24837508125628,44.763696984721065,1001.7242768232171,36.36486921650894,3394.0,94.72598703594579,1.060695344725987,9.17573872472784,53.0,155.66037735849056,12.774854864504595,65.2,22.353911684139575,86.9,75.0,73.0,0.0
경기,안산시 상록구,2329.0,636,69,567,355,0.5581761006289309,7.753194269884341,818.0606367392146,-22.255151826508524,108.79921153539104,-36.58042275650577,674.10626570347,-15.888632275461523,1284.0,95.87227414330218,1.4018691588785046,13.078797725426483,31.0,129.03225806451613,12.76089984359094,43.5,20.45581705150977,76.3,75.0,73.0,0.0
경기,안성시,2423.0,1088,205,883,599,0.5505514705882353,7.792761720816526,853.4989412663097,27.475260647162436,111.30628772387462,84.17647753068363,707.325655442457,24.83641632476239,2555.0,90.37181996086106,5.8317025440313115,10.697271546123863,48.0,134.375,12.28182462270963,63.8,18.73684662576687,90.6,62.0,60.0,0.0
경기,안양시 동안구,3285.0,1303,101,1202,875,0.671527244819647,8.09712193091871,1182.6977220765564,10.171853355075333,132.62512603816276,-23.84550121299237,1024.0407479762966,17.37814167799332,2677.0,94.91968621591333,0.8965259618976467,16.450216450216452,11.0,172.72727272727272,12.662927710020634,87.5,42.17918337586584,91.7,102.0,100.0,0.0
경기,안양시 만안구,2070.0,636,58,578,442,0.6949685534591195,7.635303886259415,720.9596699599124,-11.784247233224077,101.65925718141452,-42.946661614399794,584.0955956004287,-1.0435955426376209,1553.0,95.68576947842885,1.2234385061171926,15.343203230148047,7.0,142.85714285714286,12.345747627602655,62.5,25.934174242750657,83.3,102.0,100.0,0.0
경기,양주시,3817.0,1668,131,1537,1340,0.8033573141486811,8.247220052745229,1389.1208978760112,20.075941737713364,144.5966593845433,-9.403162868641434,1229.042482018066,25.056702472665805,4115.0,95.57715674362089,1.8226002430133657,11.238240528858377,20.0,175.0,12.587927887999204,81.1,7.029745572461961,94.1,73.0,73.0,0.0
경기,양평군,2068.0,461,87,374,147,0.3188720173535792,7.63433723562832,720.2131118207636,-35.99116810931831,101.60269281012336,-14.372348218578313,583.4095766301339,-35.894093106890146,752.0,88.43085106382979,4.122340425531915,11.578947368421053,29.0,122.41379310344827,11.708673153202595,23.3,14.6996391845571,86.1,70.0,70.0,1.0
경기,여주시,1700.0,589,80,509,304,0.5161290322580645,7.438383530044307,583.7814708268525,0.8939182611870322,90.7625006846156,-11.857871481542226,459.7405451912266,10.714620523252783,1052.0,90.49429657794677,4.657794676806084,15.021008403361344,17.0,102.94117647058823,11.673997848725008,37.9,23.45216484729547,89.4,65.0,65.0,0.0
경기,연천군,652.0,146,53,93,33,0.22602739726027396,6.480044561926653,209.01215996576212,-30.147604797770633,52.27224432945403,1.3922411021022318,143.39155372282167,-35.14262340739358,316.0,84.49367088607595,4.113924050632911,9.363295880149813,21.0,157.14285714285714,10.606238469238768,32.0,35.4553706505295,86.8,67.0,61.0,1.0
